YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 11 01 22 355  3.6  8.7 99.00 99.00 99.00 999 1017.8  13.2  13.7 999.0 99.0 99.00
2004 11 01 23   1  3.5  8.6 99.00 99.00 99.00 999 1018.7  12.5  13.6 999.0 99.0 99.00
2004 11 02 00   3  3.6  5.1 99.00 99.00 99.00 999 1020.1  11.7  13.5 999.0 99.0 99.00
2004 11 02 01  32  4.2  8.3 99.00 99.00 99.00 999 1020.9  11.1  13.5 999.0 99.0 99.00
2004 11 02 02  62  3.9 10.3 99.00 99.00 99.00 999 1022.0   9.8  13.6 999.0 99.0 99.00
2004 11 02 03  50  4.4  5.8 99.00 99.00 99.00 999 1022.0   9.3  13.4 999.0 99.0 99.00
2004 11 02 04  34  4.4  7.3 99.00 99.00 99.00 999 1022.3   8.5  13.3 999.0 99.0 99.00
2004 11 02 05  26  4.0  8.2 99.00 99.00 99.00 999 1022.3   8.1  13.3 999.0 99.0 99.00
2004 11 02 06  32  3.8  6.5 99.00 99.00 99.00 999 1022.8   7.8  13.2 999.0 99.0 99.00
2004 11 02 07  38  3.6  5.8 99.00 99.00 99.00 999 1023.3   7.6  13.2 999.0 99.0 99.00
2004 11 02 08  57  2.7  6.5 99.00 99.00 99.00 999 1023.3   6.8  13.2 999.0 99.0 99.00
2004 11 02 09  61  3.1  4.6 99.00 99.00 99.00 999 1023.2   6.4  13.2 999.0 99.0 99.00
2004 11 02 10  32  2.0  4.5 99.00 99.00 99.00 999 1023.4   6.2  13.3 999.0 99.0 99.00
2004 11 02 11  28  2.2  4.5 99.00 99.00 99.00 999 1024.3   6.6  13.2 999.0 99.0 99.00
2004 11 02 12  56  2.9  4.4 99.00 99.00 99.00 999 1024.1   7.2  13.1 999.0 99.0 99.00
2004 11 02 13  46  4.5  5.3 99.00 99.00 99.00 999 1024.4   7.3  13.2 999.0 99.0 99.00
2004 11 02 14  18  0.1  1.3 99.00 99.00 99.00 999 1024.0   8.2  13.1 999.0 99.0 99.00
2004 11 02 15 213  0.0  0.6 99.00 99.00 99.00 999 1023.8   9.5  13.0 999.0 99.0 99.00
2004 11 02 16 140  2.8  4.2 99.00 99.00 99.00 999 1023.1   9.8  13.0 999.0 99.0 99.00
2004 11 02 17 185  1.1  4.0 99.00 99.00 99.00 999 1022.2  10.0  13.0 999.0 99.0 99.00
2004 11 02 18 165  4.1  5.0 99.00 99.00 99.00 999 1021.0  10.6  12.6 999.0 99.0 99.00
2004 11 02 19 186  4.3  6.2 99.00 99.00 99.00 999 1020.2  10.9  12.8 999.0 99.0 99.00
2004 11 02 20 207  4.5  6.0 99.00 99.00 99.00 999 1019.8  11.3  12.7 999.0 99.0 99.00
2004 11 02 21 200  5.8  7.1 99.00 99.00 99.00 999 1018.5  11.3  12.9 999.0 99.0 99.00
2004 11 02 22 209  4.8  7.0 99.00 99.00 99.00 999 1018.1  11.5  12.8 999.0 99.0 99.00
2004 11 02 23 209  5.5  8.0 99.00 99.00 99.00 999 1017.7  11.7  12.8 999.0 99.0 99.00
2004 11 03 00 196  6.6  7.8 99.00 99.00 99.00 999 1016.4  12.0  12.8 999.0 99.0 99.00
2004 11 03 01 205  6.5 10.2 99.00 99.00 99.00 999 1015.1  12.6  12.9 999.0 99.0 99.00
2004 11 03 02 222  5.5  8.2 99.00 99.00 99.00 999 1014.5  13.3  13.0 999.0 99.0 99.00
2004 11 03 03 209  4.2  5.5 99.00 99.00 99.00 999 1012.9  13.4  13.0 999.0 99.0 99.00
2004 11 03 04 216  4.3  6.0 99.00 99.00 99.00 999 1011.4  13.7  13.0 999.0 99.0 99.00
2004 11 03 05 230  4.9  6.0 99.00 99.00 99.00 999 1010.0  13.9  13.0 999.0 99.0 99.00
2004 11 03 06 246  4.2  5.9 99.00 99.00 99.00 999 1009.2  14.5  12.9 999.0 99.0 99.00
2004 11 03 07 240  4.2  5.7 99.00 99.00 99.00 999 1008.0  14.4  12.9 999.0 99.0 99.00
2004 11 03 08 262  0.4  6.1 99.00 99.00 99.00 999 1006.8  14.4  12.8 999.0 99.0 99.00
2004 11 03 09 293  2.5  3.4 99.00 99.00 99.00 999 1007.0  14.4  12.9 999.0 99.0 99.00
2004 11 03 10 326  3.3  4.6 99.00 99.00 99.00 999 1007.3  14.3  13.1 999.0 99.0 99.00
2004 11 03 11 354  6.2  9.1 99.00 99.00 99.00 999 1008.3  14.2  13.1 999.0 99.0 99.00
2004 11 03 12 351  6.7 12.9 99.00 99.00 99.00 999 1009.9  13.6  13.1 999.0 99.0 99.00
2004 11 03 13 350  8.9 12.2 99.00 99.00 99.00 999 1011.7  12.7  13.1 999.0 99.0 99.00
2004 11 03 14 349  7.9 11.5 99.00 99.00 99.00 999 1012.5  13.2  13.1 999.0 99.0 99.00
2004 11 03 15   2  4.6 13.1 99.00 99.00 99.00 999 1013.7  13.1  13.0 999.0 99.0 99.00
2004 11 03 16  15  7.3 12.8 99.00 99.00 99.00 999 1014.0  13.0  13.2 999.0 99.0 99.00
2004 11 03 17 359  7.6  9.8 99.00 99.00 99.00 999 1014.5  13.5  13.2 999.0 99.0 99.00
2004 11 03 18   9  5.4 10.6 99.00 99.00 99.00 999 1014.9  13.6  13.2 999.0 99.0 99.00
2004 11 03 19  19  7.1 11.3 99.00 99.00 99.00 999 1015.7  13.5  13.2 999.0 99.0 99.00
2004 11 03 20  15  6.8 11.0 99.00 99.00 99.00 999 1016.4  13.4  13.2 999.0 99.0 99.00
2004 11 03 21   3  4.4  9.0 99.00 99.00 99.00 999 1017.3  13.1  13.2 999.0 99.0 99.00
2004 11 03 22 353  5.3  7.4 99.00 99.00 99.00 999 1018.7  11.5  13.1 999.0 99.0 99.00
2004 11 03 23  11  4.5  8.8 99.00 99.00 99.00 999 1019.8  10.8  13.1 999.0 99.0 99.00
2004 11 04 00   6  4.4  8.3 99.00 99.00 99.00 999 1020.4  10.1  13.0 999.0 99.0 99.00
2004 11 04 01  10  4.1  6.1 99.00 99.00 99.00 999 1020.9   9.1  13.0 999.0 99.0 99.00
2004 11 04 02   2  6.3 10.4 99.00 99.00 99.00 999 1021.6   8.4  13.0 999.0 99.0 99.00
2004 11 04 03 359  4.8  8.7 99.00 99.00 99.00 999 1022.2   7.4  12.9 999.0 99.0 99.00
2004 11 04 04  19  6.0  8.7 99.00 99.00 99.00 999 1022.4   6.5  12.7 999.0 99.0 99.00
2004 11 04 05  24  6.0 10.3 99.00 99.00 99.00 999 1022.3   5.5  12.4 999.0 99.0 99.00
2004 11 04 06  25  4.7  9.0 99.00 99.00 99.00 999 1022.4   4.9  12.3 999.0 99.0 99.00
